k	simple_pre_time	simple_running_time	simple_total_time	zipHMMlib_pre_time	zipHMMlib_running_time	zipHMMlib_total_time	zipHMMlib_path_pre_time	zipHMMlib_path_running_time	zipHMMlib_path_total_time	zipHMMlib_total_ratio	zipHMMlib_path_total_ratio	zipHMMlib_running_ratio	zipHMMlib_path_running_ratio	zipHMMlib_running_time/k^2	zipHMMlib_running_time/k^3	zipHMMlib_path_running_time/k^2	zipHMMlib_path_running_time/k^3	zipHMMlib_path_backtrack_time	zipHMMlib_pre_time/k^3
4	2.6e-08	0.127366	0.127367	0.05585269999999999	0.00757812	0.063431	0.054942399999999995	0.031314299999999996	0.0862569	2.00796140688307	1.4766007125227085	16.807070883015843	4.067343034971244	0.0004736325	0.000118408125	0.0019571437499999998	0.0004892859374999999	0.023736179999999996	0.0008726984374999999
8	2.7e-08	0.431779	0.431779	0.0556471	0.0164945	0.07214169999999999	0.0550493	0.03968869999999999	0.0947382	5.9851514450033765	4.557601896595038	26.177149959077273	10.87914192200803	0.0002577265625	3.22158203125e-05	0.0006201359374999999	7.751699218749999e-05	0.023194199999999995	0.0001086857421875
16	2.8999999999999998e-08	1.58028	1.58028	0.0555678	0.0553483	0.11091600000000001	0.05522869999999999	0.0777542	0.132983	14.247538677918422	11.883323432318416	28.55155442895265	20.324046803902554	0.000216204296875	1.35127685546875e-05	0.00030372734375	1.8982958984375e-05	0.022405899999999992	1.3566357421875e-05
32	2.8999999999999998e-08	12.0684	12.0684	0.0558846	0.204284	0.260169	0.055281	0.22943000000000002	0.28471199999999997	46.38677167533412	42.38809744584001	59.07657966360557	52.6016649958593	0.00019949609375	6.2342529296875e-06	0.00022405273437500002	7.001647949218751e-06	0.02514600000000003	1.705462646484375e-06
64	2.8999999999999998e-08	48.1605	48.1605	0.062386199999999996	0.835514	0.8979	0.055208900000000005	0.8653489999999999	0.920558	53.63681924490478	52.31663838671762	57.64176303449134	55.65442382206486	0.00020398291015625	3.187232971191406e-06	0.00021126684570312498	3.301044464111328e-06	0.029834999999999945	2.3798446655273436e-07
128	5.3e-08	200.731	200.731	0.059505600000000006	3.67826	3.7377599999999997	0.0556113	3.7098800000000005	3.7654900000000002	53.703555070416506	53.308068803794455	54.57227058446113	54.10714093178215	0.000224503173828125	1.7539310455322265e-06	0.00022643310546875003	1.7690086364746096e-06	0.03162000000000065	2.8374481201171878e-08
256	2.7e-08	803.4760000000001	803.4760000000001	0.0595989	19.2499	19.3095	0.055687099999999996	19.2643	19.32	41.610399026385984	41.58778467908903	41.73922981418086	41.7080298791028	0.00029373016357421875	1.147383451461792e-06	0.00029394989013671873	1.1482417583465575e-06	0.014399999999998414	3.5523712635040285e-09
512	4.5999999999999995e-08	3129.52	3129.52	0.107339	102.68299999999999	102.79	0.0821548	103.12200000000001	103.204	30.4457632065376	30.32363086702066	30.477488970910475	30.347743449506407	0.00039170455932617185	7.650479674339294e-07	0.0003933792114257813	7.683187723159791e-07	0.4390000000000214	7.997378706932068e-10
