1024 3.6e-08 0.0661203 0.0661206 0.00106886 0.00605858 0.00712756 0.00105933 0.00621097 0.00727044
2048 4e-08 0.131402 0.131402 0.00131854 0.0104989 0.0118175 0.00117574 0.010769 0.0119449
4096 3.6e-08 0.260818 0.260818 0.00181167 0.021754 0.0235658 0.00162889 0.0223027 0.0239317
8192 4.4e-08 0.521668 0.521668 0.00427321 0.0327344 0.0370077 0.00395165 0.0342501 0.0382019
16384 3.5e-08 1.06123 1.06123 0.00800949 0.0592824 0.067292 0.00763618 0.0626431 0.0702794
32768 3.4e-08 2.1425 2.1425 0.00762899 0.179224 0.186853 0.00735382 0.186102 0.193456
65536 3.6e-08 7.76076 7.76076 0.0347873 0.210338 0.245126 0.0333138 0.227553 0.260867
131072 4.5e-08 16.0499 16.0499 0.101331 0.350586 0.451917 0.100394 0.390777 0.491172
262144 3.5e-08 34.2483 34.2483 0.197602 0.686358 0.883961 0.19394 0.772559 0.966499
524288 4.1e-08 68.7288 68.7288 0.299403 1.55936 1.85876 0.293219 1.72219 2.01541
1048576 3.7e-08 120.758 120.758 1.63867 2.17051 3.80918 1.63179 2.50445 4.13624
2097152 5.3e-08 217.655 217.655 2.35614 4.73861 7.09475 2.35069 5.44869 7.79938
4194304 3.8e-08 321.191 321.191 4.78815 4.97844 9.76658 4.71909 5.94675 10.6658
8388608 2.6e-08 644.759 644.759 10.5172 9.7971 20.3143 10.2673 11.7324 21.9997
16777216 3.9e-08 1769.02 1769.02 21.6677 19.7316 41.3993 20.614 24.0229 44.6368
