N N_std T T_std simple_time simple_time_std zipHMMlib_time zipHMMlib_time_std zipHMMlib_time/N^2 zipHMMlib_time/N^2_std zipHMMlib_ratio zipHMMlib_ratio_std
2.0 0.0 10000.0 0.0 0.016259149999999997 0.003796443910131944 0.007762911 0.0015526091183943 0.00194072775 0.000388152279598575 2.1829896727616207 0.6637150392444546
3.0 0.0 10000.0 0.0 0.002765892 0.0005102394365785537 0.006655935 0.0008106545724324015 0.0007395483333333333 9.00727302702667e-05 0.4148450546387882 0.05184079473455972
4.0 0.0 10000.0 0.0 0.003065598 0.0002660719665721189 0.006958029999999999 0.0005648943395794563 0.0004348768749999999 3.530589622371602e-05 0.440803412339599 0.019951387167916605
6.0 0.0 10000.0 0.0 0.004299411 0.0005480058745721213 0.007493635000000001 0.000504257118723484 0.00020815652777777778 1.4007142186763716e-05 0.5739327573553414 0.061927573836816706
8.0 0.0 10000.0 0.0 0.0053716400000000004 0.00027386463383697343 0.007722584 0.0005084884225973573 0.000120665375 7.945131603083707e-06 0.6979376750624002 0.053907362730065515
12.0 0.0 10000.0 0.0 0.008386514999999999 0.0005769123052221188 0.008884008 0.0006651794604265312 6.16945e-05 4.61930180851752e-06 0.9464747840769465 0.06926124454033493
16.0 0.0 10000.0 0.0 0.01212393 0.001112100716911709 0.014886350000000001 0.0010976612756725425 5.8149804687500005e-05 4.287739358095869e-06 0.8197853455505383 0.11067421345917365
24.0 0.0 10000.0 0.0 0.02143851 0.0011304972509180917 0.012254906 0.002466246382195688 2.127587847222222e-05 4.2816777468675265e-06 1.7945344441351587 0.27421897253540833
32.0 0.0 10000.0 0.0 0.034859989999999993 0.000867776753741378 0.014770920000000002 0.00022846708394078227 1.4424726562500002e-05 2.2311238666092018e-07 2.3605807703576325 0.0707617990744798
48.0 0.0 10000.0 0.0 0.06451103 0.000971307861768191 0.02327514 0.0008408455033145568 1.0102057291666666e-05 3.6495030525808103e-07 2.7738517012289408 0.07429067232871547
64.0 0.0 10000.0 0.0 0.11184920000000001 0.001843259480135949 0.03755241999999999 0.0008835534754617146 9.168071289062497e-06 2.1571129772014517e-07 2.979878008193374 0.0820169567931446
96.0 0.0 10000.0 0.0 0.2512101 0.004071762502623507 0.06900416000000001 0.0018665956011470694 7.487430555555557e-06 2.0253858519388808e-07 3.642874925588542 0.11371555296456813
128.0 0.0 10000.0 0.0 0.48770870000000005 0.004972795123911705 0.12325630000000001 0.00047760561368335276 7.522967529296876e-06 2.9150733257040574e-08 3.956998498825299 0.0506376070200167
192.0 0.0 10000.0 0.0 1.1708280000000002 0.01534522205767286 0.25530820000000004 0.0016867129637843118 6.925678168402777e-06 4.575501746412983e-08 4.586038965534735 0.06104986037920938
256.0 0.0 10000.0 0.0 2.8312039999999996 0.008459421046778184 0.5228659 0.0006069260343592077 7.978300476074219e-06 9.260956334826777e-09 5.41477518715593 0.012665283053912495
384.0 0.0 10000.0 0.0 7.5506470000000006 0.0842827727289239 1.1509260000000001 0.0031636589224393404 7.805216471354167e-06 2.145493518448641e-08 6.560460323171367 0.06714076872142981
512.0 0.0 10000.0 0.0 14.326600000000003 0.8621477084068061 2.301476 0.019914165923841435 8.779434204101563e-06 7.596651429688047e-08 6.224438575252206 0.36241527183455596
