N N_std T T_std simple_time simple_time_std zipHMMlib_time zipHMMlib_time_std zipHMMlib_time/T zipHMMlib_time/T_std zipHMMlib_ratio zipHMMlib_ratio_std
16.0 0.0 1024.0 0.0 0.0018440150000000003 4.1706275640212556e-05 0.00186555 4.20776039664205e-05 1.821826171875e-06 4.109141012345752e-08 0.9886299785804512 0.019282171724444606
16.0 0.0 2048.0 0.0 0.0031914939999999996 0.00020818412209708942 0.0030580950000000003 3.6359096447014236e-05 1.4932104492187501e-06 1.775346506201867e-08 1.0439507637083965 0.0732380697547038
16.0 0.0 4096.0 0.0 0.006207600000000001 0.000330517858182837 0.00557376 0.0002991358290141866 1.36078125e-06 7.303120825541664e-08 1.1166703213240687 0.08527533296024778
16.0 0.0 8192.0 0.0 0.01214426 7.443601577493289e-05 0.01043457 0.000344430247897411 1.273751220703125e-06 4.204470799528943e-08 1.1649619088411112 0.03814521230026538
16.0 0.0 16384.0 0.0 0.023833620000000003 0.00011459494656207145 0.020128509999999995 6.138871503362297e-05 1.2285467529296872e-06 3.746869814063902e-09 1.184075396609438 0.005131856316912303
16.0 0.0 32768.0 0.0 0.05460507 0.0007210880960972514 0.04040237000000001 0.0006163809663398334 1.2329824829101565e-06 1.881045429503886e-08 1.3518105921938897 0.027157566149482944
16.0 0.0 65536.0 0.0 0.12062520000000002 0.0004232511206279975 0.08050684999999999 0.0001517738028200122 1.228437042236328e-06 2.3158844424440337e-09 1.4983220600201923 0.004387688648333311
16.0 0.0 131072.0 0.0 0.2597943 0.0007937910514396347 0.1595894 0.0003570811299028997 1.2175704956054687e-06 2.724312819693754e-09 1.6278981123182668 0.0058106248262961855
16.0 0.0 262144.0 0.0 0.549982 0.0033390675677953544 0.3209952 0.0011739073217292527 1.22449951171875e-06 4.478101050297747e-09 1.7133946430616842 0.013447556671503004
16.0 0.0 524288.0 0.0 2.067608 0.015800861298621658 0.6372042 0.0010852425023874458 1.2153705596923828e-06 2.069935803198711e-09 3.244816275659269 0.02474951068797138
16.0 0.0 1048576.0 0.0 4.519602000000001 0.004240232697858471 1.274312 0.002941703210404967 1.2152786254882811e-06 2.8054267982530278e-09 3.546713078811659 0.007036853789220259
16.0 0.0 2097152.0 0.0 10.913479999999998 0.0045635755993674405 2.538417 0.004730442897003179 1.210411548614502e-06 2.2556509480491537e-09 4.299337520186756 0.007579277584550828
