2 10000 0.003579 0.0091203
2 10000 0.00344166 0.00509693
3 10000 0.00215071 0.00512822
3 10000 0.00230855 0.00512855
4 10000 0.00308196 0.00711306
4 10000 0.00409334 0.0102651
6 10000 0.00431749 0.0110741
6 10000 0.00321155 0.00669236
8 10000 0.00440805 0.00704817
8 10000 0.00437998 0.00673215
12 10000 0.0081041 0.0128415
12 10000 0.00785651 0.0101786
16 10000 0.0104149 0.017036
16 10000 0.0104714 0.0135647
24 10000 0.0252653 0.0114474
24 10000 0.0220909 0.0112874
32 10000 0.030651 0.0159387
32 10000 0.0302894 0.0162656
48 10000 0.0635276 0.0269701
48 10000 0.0628598 0.0252457
64 10000 0.116421 0.0401768
64 10000 0.110336 0.0404401
96 10000 0.246698 0.0719827
96 10000 0.248054 0.0723664
128 10000 0.489808 0.128518
128 10000 0.477005 0.128881
192 10000 1.15773 0.260962
192 10000 1.14686 0.261534
256 10000 2.79018 0.52856
256 10000 2.78894 0.528539
384 10000 7.50348 1.14486
384 10000 7.32541 1.14124
512 10000 13.7079 2.22086
512 10000 13.6818 2.22151
