16 1024 0.0160444 0.0029497
16 1024 0.0051944 0.00266594
16 2048 0.0121133 0.00448988
16 2048 0.00786666 0.00455947
16 4096 0.0187734 0.00947051
16 4096 0.0174701 0.00948956
16 8192 0.0311754 0.0173692
16 8192 0.0224691 0.0190373
16 16384 0.0412556 0.0293794
16 16384 0.043106 0.0320921
16 32768 0.0703687 0.0437451
16 32768 0.0755454 0.0488361
16 65536 0.134314 0.102953
16 65536 0.13087 0.104771
16 131072 0.283556 0.179051
16 131072 0.266957 0.177721
16 262144 0.565747 0.345058
16 262144 0.542473 0.34396
16 524288 2.05957 0.731019
16 524288 2.05528 0.732625
16 1048576 4.4837 1.55802
16 1048576 4.56297 1.55532
16 2097152 10.7422 3.28393
16 2097152 10.6384 3.2416
16 4194304 22.8113 6.7136
16 4194304 24.2359 6.67245
16 8388608 50.6529 13.6843
16 8388608 48.8756 13.7453
