N N_std T T_std subseq_length subseq_length_std simple_pre_time simple_pre_time_std simple_running_time simple_running_time_std one_pre_time one_pre_time_std one_running_time one_running_time_std many_pre_time many_pre_time_std many_running_time many_running_time_std simple_total_time simple_total_time_std one_total_time one_total_time_std many_total_time many_total_time_std one_total_ratio one_total_ratio_std many_total_ratio many_total_ratio_std one_running_ratio one_running_ratio_std many_running_ratio many_running_ratio_std
16.0 0.0 10000.0 0.0 2.0 0.0 1.93e-07 4.948675353577168e-08 0.012554175999999998 0.001876423825602787 0.0020589268 0.0003196762502042558 0.014110138000000001 0.0015814419628920782 0.034785470000000006 0.0010537730608510018 0.0047269414 4.596847642169294e-05 0.012554369000000001 0.001876440063502786 0.0161690648 0.001719904769422621 0.00479651234 4.685367804018356e-05 0.7904566316700045 0.1754522222729775 2.6173674476955724 0.39030833350748306 0.9080487718224242 0.2091550192169565 2.6558368005280424 0.3959929584687371
16.0 0.0 10000.0 0.0 4.0 0.0 1.6886000000000002e-07 3.118084838682957e-08 0.012142385200000001 0.002089145991993424 0.0020098684 0.00030022832274284106 0.014723357999999999 0.001368277749595007 0.034971614 0.0010628534976916612 0.0047225466 3.347694086727441e-05 0.012142554060000001 0.0020891503848764425 0.0167332264 0.0013254635350310553 0.004792489828000001 3.423481721948625e-05 0.735152581110865 0.16859599317596544 2.5342425285162458 0.438843419675803 0.841067003600822 0.21778826103490373 2.5716829821488587 0.4449872655410847
16.0 0.0 10000.0 0.0 8.0 0.0 1.8742000000000002e-07 4.3370774510407905e-08 0.012261934 0.001872987841256286 0.0019988068 0.0002850176772422567 0.014524694 0.0017696710154784287 0.036262956000000006 0.005165601322807199 0.0047431138000000005 7.567781860045642e-05 0.012262121420000001 0.0018729963204527221 0.0165235008 0.0018385270992045746 0.004815639712 8.471340061937779e-05 0.755573976032669 0.16729323181887767 2.5484791983481916 0.40101728694809435 0.8635396249399868 0.2052091708760522 2.5870889687065866 0.4055545020982003
16.0 0.0 10000.0 0.0 16.0 0.0 1.7746000000000003e-07 4.905316149914512e-08 0.013034582799999998 0.0025169363335327635 0.0020846454 0.00036895237867707177 0.01432798 0.0015755094037245324 0.035445078 0.004738558627326267 0.0047299128 6.658611183995436e-05 0.013034760259999998 0.002516962487712519 0.0164126254 0.0015645032761012515 0.0048008029559999995 7.466946500218158e-05 0.8043095291956744 0.18650228739382121 2.7162549438114136 0.5286915973864028 0.9276638201211618 0.23941024327058263 2.756721141745403 0.5358465213802326
16.0 0.0 10000.0 0.0 32.0 0.0 1.9268000000000003e-07 5.0835244081407976e-08 0.012786266000000001 0.002803427551115053 0.0020354446 0.00035988582512139336 0.014758298000000001 0.0021402120122415032 0.036073618 0.003103703765956435 0.0047669146 5.8013788094016785e-05 0.01278645868 0.002803444407992588 0.016793742599999998 0.0022457438633628566 0.004839061836 6.244204993344477e-05 0.7789215468656959 0.22223925604242303 2.6436244770243102 0.5841603315833037 0.8915013209615936 0.2696517587580274 2.6834129566857414 0.5923324642529754
16.0 0.0 10000.0 0.0 64.0 0.0 1.814e-07 3.726080174846989e-08 0.012685605199999998 0.002451925869413469 0.0020406121999999994 0.0003162180571674176 0.014411245999999997 0.0017749719477185596 0.035943039999999996 0.005080467260247734 0.004805662400000001 5.987243018420262e-05 0.012685786600000002 0.0024519252039170835 0.0164518582 0.0017443106188834996 0.0048775484800000005 6.846405781592551e-05 0.7873416446762165 0.20687433737279964 2.6013720921581633 0.5044641660475153 0.9060576825707553 0.2622908569210261 2.6401549246291474 0.5116970639754632
16.0 0.0 10000.0 0.0 128.0 0.0 1.8074e-07 3.6400162592146374e-08 0.0125619232 0.0023301633271042214 0.0021220837999999997 0.000360947942489367 0.015474588000000003 0.002412313847033099 0.036451844000000004 0.005449537164700581 0.0048697639999999995 6.369120610170493e-05 0.01256210394 0.002330167350474868 0.017596671800000005 0.0025682060809433783 0.004942667687999999 7.26367073612191e-05 0.7319779396784719 0.19093313592013003 2.5419540066185706 0.47205915789900604 0.8370020064368024 0.2339601072841642 2.579847815322471 0.4786113828810276
16.0 0.0 10000.0 0.0 256.0 0.0 1.8843999999999999e-07 4.5103581467822445e-08 0.012671942600000001 0.002471920297449352 0.0020670465999999997 0.00028308835276619676 0.014773202000000001 0.0016279631952528719 0.03534174600000001 0.003998186282947147 0.0050082144000000006 5.7348744062462116e-05 0.012672131040000001 0.0024719282374865725 0.0168402486 0.0016591421068327139 0.005078897892 6.26592375156497e-05 0.7672398896154757 0.20536140057736574 2.4973389839522997 0.4998895681917375 0.8801342522094661 0.2561507142265241 2.5323155843528906 0.5056623791652772
16.0 0.0 10000.0 0.0 512.0 0.0 1.7991999999999999e-07 4.169365438920566e-08 0.0122915564 0.0025393550029893706 0.0020374618 0.00045689451213060177 0.015160992 0.0018083350661211132 0.03674725 0.004533067765997156 0.005298507999999999 6.366355071633497e-05 0.01229173632 0.0025393521924111538 0.0171984538 0.0018522653934771507 0.0053720025000000005 7.151028648318141e-05 0.7315962866968571 0.21181101201350794 2.290655103368571 0.48536492684516447 0.8359551925467628 0.2645375490054509 2.3221310872328162 0.49099362760424964
16.0 0.0 10000.0 0.0 1024.0 0.0 1.8105999999999998e-07 4.4463426841963167e-08 0.0124446664 0.002444111788308797 0.0020941458 0.0003576619400774412 0.015967198000000002 0.0020738600206132453 0.03608821400000001 0.004237349429894131 0.005852299200000001 7.086975788737462e-05 0.012444847460000002 0.0024441235509303394 0.0180613438 0.0021974508420337185 0.005924475628 7.834491702042636e-05 0.7015924344128127 0.17712103777817245 2.1012982470672843 0.4162050112734136 0.796959118920617 0.21243778209473355 2.1271777259481524 0.4215051384130258
