6 0.00456219 76634 5026 9 6328335 130875 9290 
8 0.00265742 136835 5998 96 6540885 192394 24117 
12 0.00598156 286352 93785 25 14016051 755763 169344 
16 0.0200909 984516 457249 189 25238282 1589517 428830 
24 0.0564172 2950686 1542273 1866 84268074 4997489 1547755 
32 0.115411 5258547 2779255 28038 197563668 9053386 2798626 
48 0.225517 5852253 2823448 41887 539894356 10003334 2813762 
64 0.443057 51183492 2882466 69177 1222076788 61287607 2945093 
96 1.38646 100487488 3738008 289320 1890557232 137152920 3763833 
128 3.47529 1695711147 56676013 328840 4698855247 2196070993 44461314 
192 12.4205 5797455460 508854212 1744232 13563877492 6008163328 502412947 
256 50.5693 13365013267 13215829603 5217407 29310477357 13377144311 13214456491 
384 172.937 45271493651 42063994923 17536737 95855654875 45288867773 42061124190 
512 388.756 106552810227 106461276945 64855022 225787453814 106567171825 106464424259 
