frequency	simple_pre_time	simple_running_time	simple_total_time	zipHMMlib_pre_time	zipHMMlib_running_time	zipHMMlib_total_time	zipHMMlib_path_pre_time	zipHMMlib_path_running_time	zipHMMlib_path_total_time	zipHMMlib_total_ratio	zipHMMlib_path_total_ratio	zipHMMlib_running_ratio	zipHMMlib_path_running_ratio
0.25	2.8e-08	18.4874	18.4874	0.26850599999999997	0.238634	0.5071399999999999	0.26918800000000004	0.4469	0.716087	36.454233544977726	25.817254048739887	77.47177686331369	41.36809129559185
0.125	2.6e-08	18.4015	18.4015	0.22673800000000002	0.155585	0.382323	0.22711900000000002	0.364562	0.591681	48.13076900945012	31.100373343068306	118.27296975929555	50.475639260262994
0.0625	2.8999999999999998e-08	18.3935	18.3935	0.16206600000000002	0.10022	0.262286	0.154597	0.310839	0.46543599999999996	70.12764691977459	39.5188597358176	183.53123129115943	59.173720157380515
0.03125	4e-08	18.428	18.428	0.11449200000000001	0.0765205	0.19101300000000002	0.113507	0.279443	0.392951	96.47510902399313	46.89643237960967	240.8243542580093	65.94547009586928
0.015625	2.7e-08	18.4197	18.4197	0.10257999999999999	0.043231900000000004	0.145812	0.101539	0.25605500000000003	0.357594	126.3249938276685	51.51009245121562	426.06732528526385	71.93649801800393
0.0078125	2.8999999999999998e-08	18.4473	18.4473	0.09235	0.031162099999999998	0.12351199999999998	0.08826619999999999	0.23867800000000003	0.326944	149.35633784571542	56.423424194969165	591.9787177372514	77.28948625344604
0.00390625	3.1e-08	18.4378	18.4378	0.09005830000000001	0.0174922	0.107551	0.0892057	0.226784	0.31599	171.43308755846064	58.34931485173581	1054.0583803066509	81.30114999294481
0.00195312	2.7e-08	18.7178	18.7178	0.08399780000000001	0.010391599999999999	0.09438939999999998	0.08294589999999999	0.227491	0.31043699999999996	198.30404685271867	60.29500349507308	1801.2433119057703	82.27929896127759
0.0009765619999999999	2.8e-08	18.3768	18.3768	0.0827555	0.00569861	0.0884542	0.08235039999999999	0.227175	0.309526	207.75497376043197	59.37077983755807	3224.786395278849	80.89270386266095
0.00048828099999999997	2.1e-08	18.4205	18.4205	0.0840766	0.00389745	0.08797410000000001	0.0816397	0.213299	0.29493800000000003	209.38548959295971	62.455499121849336	4726.295398273231	86.3599923112626
0.00024414099999999997	3e-08	18.4039	18.4039	0.08561339999999999	0.00272079	0.0883343	0.08218769999999999	0.217087	0.299275	208.3437577475567	61.49494611978949	6764.175110905289	84.77661029909667
0.00012207	4e-08	18.3893	18.3893	0.0829649	0.00176588	0.0847308	0.0829862	0.212928	0.295915	217.0320591803689	62.143858878394134	10413.674768387431	86.36393522693116
