N N_std T T_std T' T'_std simple_pre_time simple_pre_time_std simple_running_time simple_running_time_std simple_path_pre_time simple_path_pre_time_std simple_path_running_time simple_path_running_time_std zipHMMlib_uncompressed_pre_time zipHMMlib_uncompressed_pre_time_std zipHMMlib_uncompressed_running_time zipHMMlib_uncompressed_running_time_std zipHMMlib_uncompressed_path_pre_time zipHMMlib_uncompressed_path_pre_time_std zipHMMlib_uncompressed_path_running_time zipHMMlib_uncompressed_path_running_time_std zipHMMlib_pre_time zipHMMlib_pre_time_std zipHMMlib_running_time zipHMMlib_running_time_std zipHMMlib_path_pre_time zipHMMlib_path_pre_time_std zipHMMlib_path_running_time zipHMMlib_path_running_time_std zipHMMlib_pre_time/T zipHMMlib_pre_time/T_std zipHMMlib_running_time/T zipHMMlib_running_time/T_std zipHMMlib_path_running_time/T zipHMMlib_path_running_time/T_std zipHMMlib_path_backtrack_time/T zipHMMlib_path_backtrack_time/T_std simple_total_time simple_total_time_std zipHMMlib_uncompressed_total_time zipHMMlib_uncompressed_total_time_std zipHMMlib_uncompressed_path_total_time zipHMMlib_uncompressed_path_total_time_std zipHMMlib_total_time zipHMMlib_total_time_std zipHMMlib_path_total_time zipHMMlib_path_total_time_std zipHMMlib_uncompressed_running_ratio zipHMMlib_uncompressed_running_ratio_std zipHMMlib_uncompressed_path_running_ratio zipHMMlib_uncompressed_path_running_ratio_std zipHMMlib_running_ratio zipHMMlib_running_ratio_std zipHMMlib_path_running_ratio zipHMMlib_path_running_ratio_std zipHMMlib_uncompressed_total_ratio zipHMMlib_uncompressed_total_ratio_std zipHMMlib_uncompressed_path_total_ratio zipHMMlib_uncompressed_path_total_ratio_std zipHMMlib_total_ratio zipHMMlib_total_ratio_std zipHMMlib_path_total_ratio zipHMMlib_path_total_ratio_std compression_ratio compression_ratio_std
16.0 0.0 1024.0 0.0 341.05263157894734 41.14267004273809 8.073684210526315e-08 1.685177902004277e-08 0.02129042105263158 0.002029783646264642 2.852631578947368e-08 5.834461043876705e-09 0.020592368421052634 0.004080089843108378 0.0008618456842105263 0.00030309421637889956 0.0004826736315789474 8.0180390918929e-05 0.0009345029473684212 0.0006230681931656592 0.001070791684210526 0.00020243383533777618 0.001058398 0.00028676832733391026 0.00040511257894736846 7.393279941895837e-05 0.0010198092105263158 0.00031565913406862375 0.0007949724736842106 0.00013147577481141933 1.033591796875e-06 2.8004719466202174e-07 3.956177528782895e-07 7.219999943257653e-08 7.763403063322369e-07 1.2839431133927669e-07 3.807225534539474e-07 9.727033414834205e-08 0.02129050178947368 0.0020297881810412495 0.0013445193157894735 0.0003056148352821927 0.0020052946315789475 0.0005564678062092692 0.0014635105789473685 0.0002707349971619049 0.0018147816842105262 0.0002815879114606722 45.610230733643185 10.98729271318567 20.647382550537305 4.887005331674904 54.468684911217544 12.85488959931616 27.62783609640456 6.348542555944877 16.316170447246858 2.80499555672393 11.174933415299947 2.463060433926295 15.015495339104566 3.0232515533274484 12.050109113479932 2.449357235145514 3.0417556577480425 0.3493312849137676
16.0 0.0 2048.0 0.0 628.5 80.5026969146147 8.43e-08 2.4791976630820694e-08 0.030094549999999998 0.002921406154847224 2.69e-08 3.4928498393145987e-09 0.03337350000000001 0.004437550600571351 0.0009554387000000001 0.00021766083641494238 0.00068442335 0.0001728629877273589 0.0008996515500000002 0.00020875733463004178 0.0017410255000000004 0.0005687504243466315 0.00120733705 0.0002256765015035727 0.0004829908 0.00014541648192893932 0.00119394295 0.00017358086121564584 0.00107646635 0.00032797994618979454 5.895200439453125e-07 1.1019360424979136e-07 2.358353515625e-07 7.10041415668649e-08 5.256183349609375e-07 1.6014645810048561e-07 2.8978298339843743e-07 9.2341352971637e-08 0.030094634299999996 0.002921424721680648 0.00163986205 0.000280408116737106 0.0026406770500000004 0.0006115684879230364 0.00169032785 0.00030703873569980314 0.0022704093000000002 0.00044530076433327704 45.353997541458845 7.18575213287767 18.348626488027907 3.906657278645073 65.74208637886643 14.020941058293584 29.490873561217274 6.186123274260499 18.71563712882359 2.8647657681717624 11.804617387870326 2.1984385777339033 18.210680224899004 2.868717653674373 13.610037504551064 2.402196715923896 3.3010512997657164 0.3550602405431939
16.0 0.0 4096.0 0.0 1239.85 134.58563112480914 8.495e-08 2.2744519293551472e-08 0.05702810500000001 0.004201904591400859 2.6499999999999996e-08 1.6701717529077714e-09 0.05801740499999999 0.00419051701350827 0.00115959755 0.0005970179675711501 0.001333928 0.0003924228407779172 0.00110595035 0.0005936619736579035 0.00328327 0.0009428386655983998 0.0015961760000000001 0.0003146076334169427 0.0006599296999999999 0.0002091690601013801 0.0015305065 0.00026734517042629265 0.0017308399999999998 0.0004452646959068884 3.8969140625000004e-07 7.680850425218328e-08 1.6111564941406247e-07 5.10666650638135e-08 4.2256835937499994e-07 1.0870720114914267e-07 2.6145270996093747e-07 5.974318427169433e-08 0.057028189949999995 0.004201914275546273 0.0024935255499999994 0.0007228059879290969 0.0043892203500000004 0.0011275591433996877 0.0022561056999999994 0.0005189277055876232 0.0032613465 0.000696500081749154 44.8811489870445 8.41329748750312 18.206714475691918 3.4001047385651937 91.32172535647518 17.820324369116616 34.270157843586496 6.056487779479461 23.910875327687155 4.149820560943515 13.50698507694807 2.266101031678906 26.100148022626303 4.211802083531917 17.986724221697155 2.7766391959463053 3.339515768790047 0.3507128691186886
16.0 0.0 8192.0 0.0 2285.4 295.1487403790981 7.64e-08 1.7515106261979147e-08 0.101439825 0.0027206707620836953 2.5900000000000004e-08 1.9439514830419977e-09 0.10647455000000002 0.0014959028773342269 0.0012786575 6.91965704105292e-05 0.002335787 8.061773410682477e-06 0.0011790535000000002 5.0588349841999205e-05 0.005869895 0.00011193034302400646 0.0025205774999999997 0.0004035516812252684 0.00104801215 0.00020756933047215962 0.0024480745 0.0002041530112820462 0.0030606254999999997 7.940869390791151e-05 3.076876831054687e-07 4.9261679837068897e-08 1.2793117065429686e-07 2.5338053036152298e-08 3.736115112304687e-07 9.693444080555605e-09 2.456803405761719e-07 2.7177899647532046e-08 0.1014399014 0.0027206716783361702 0.0036144445000000002 7.233199615769601e-05 0.007048948500000001 0.0001125219260165264 0.00356858965 0.0005844317694717856 0.005508700000000001 0.00015986246746891585 43.428808205014 1.165256870006647 17.294517785910024 0.7472076586003767 98.96701854329662 12.160795054627075 33.17025185458503 1.3662059315866173 28.07137806189317 0.7960487433544101 14.398954374371238 0.5756014786628916 28.89917434304827 3.1649457505395078 18.42274447956021 0.536418400645643 3.6315318828317187 0.38733780303675
16.0 0.0 16384.0 0.0 4182.3 461.1068034745591 7.31e-08 1.3226369195862634e-08 0.18731080000000003 0.003412750127326727 2.63e-08 2.1051315748353193e-09 0.20575215 0.001809807645348203 0.001801539 9.530095050611873e-05 0.0045953185 5.099783001315494e-05 0.001677911 4.7948214927532534e-05 0.012069759999999999 0.00022672294801786755 0.0046441650000000004 0.0004737353204002571 0.001662296 7.232510078949602e-05 0.0045852665 0.00047821866359796465 0.0057031625 0.00012293721871772649 2.834573364257813e-07 2.8914509301773504e-08 1.0145849609375e-07 4.414373827483888e-09 3.4809341430664063e-07 7.50349235337686e-09 2.466349182128906e-07 4.2109413468943735e-09 0.1873108731 0.0034127464384671987 0.0063968575 0.00010352735356189085 0.013747671 0.0002410051347541753 0.006306460999999999 0.0004321538264736391 0.010288428999999998 0.00038830228192265664 40.765608651059026 0.8524881601495075 15.52144056674442 0.2708067846918592 112.8912381652004 5.442726600209122 32.86124383041664 1.0482131254531375 29.291568309284667 0.8214638999043901 13.626733165742195 0.23640887095270288 29.836328705566377 2.133609383333098 18.23225128231611 0.8001148583504347 3.9588535928855224 0.3987759338494888
16.0 0.0 32768.0 0.0 8175.45 1259.6535227468003 7.555e-08 1.4514874403430714e-08 0.37211239999999995 0.003685342252198302 2.6250000000000003e-08 2.3141441523584314e-09 0.3987706 0.004837319956125021 0.002894034 0.00012226302584354473 0.0090651775 3.1545605395095664e-05 0.002651861 0.00010281735456111636 0.026265859999999995 0.0007690391198045026 0.00845064 0.0011177973098723496 0.0026564885000000004 0.0002355008509600159 0.008647577 0.0013855224665355371 0.010931743000000002 0.0009266653737381105 2.5789306640625e-07 3.411246673194426e-08 8.106959533691408e-08 7.186915617676266e-09 3.3361032104492195e-07 2.827958293878511e-08 2.525407257080078e-07 2.5247667407710225e-08 0.37211247555 0.003685347533029349 0.0119592115 0.00014414237330446578 0.028917721 0.0008166523319779853 0.0111071285 0.0009407516367597062 0.01957932 0.0014787655665559635 41.048978804875254 0.4270350661592018 14.177424390110199 0.3913345178090986 140.88750086455178 9.759787799431972 34.25095358255352 2.6496304219637867 31.11898088488231 0.45665061286386033 12.87663279028576 0.3437153560346909 33.741180801040386 3.0083330554043837 19.097242006093104 1.2981472256100441 4.0800101432941105 0.502821182413846
16.0 0.0 65536.0 0.0 15455.9 2775.726929918304 7.3e-08 1.4736278184699271e-08 0.7359234 0.01333033202650616 2.63e-08 1.4179302929938499e-09 0.7868866999999999 0.003101481803761516 0.004844887000000001 7.265968259450899e-05 0.018110875 7.102273079440997e-05 0.004493448 7.609498265500388e-05 0.050812674999999995 0.0001775738567644218 0.01723964 0.002837450181412878 0.0048517955 0.0007143473919782039 0.017104985 0.0028227173986995284 0.019454715 0.0010741526203796067 2.630560302734375e-07 4.329605379353146e-08 7.403252410888671e-08 1.0900076171542417e-08 2.968553924560547e-07 1.6390268255304058e-08 2.2282286834716797e-07 6.565948195003849e-09 0.7359234729999999 0.013330331494653878 0.022955761999999998 9.11358259102235e-05 0.055306123000000006 0.00019078966853926875 0.0220914355 0.0022945881929730357 0.036559699999999994 0.0020363348690594445 40.635406169301646 0.781040512308453 14.483140032891772 0.26152695190509545 154.09266532334624 17.635975452914792 37.92511650483582 1.985639659812202 32.05850286322249 0.574863483061193 13.30635637182479 0.23568465386501594 33.66455506282243 3.6453250607711363 20.188454479897604 1.1779098827275805 4.337564618912804 0.5850345961750983
16.0 0.0 131072.0 0.0 28971.35 1870.3929020114188 8.52e-08 1.899473611293401e-08 1.4503605 0.009452456920929251 2.6350000000000004e-08 2.3232237130875947e-09 1.565687 0.0024307744054447573 0.008895000000000002 0.0005409635399135198 0.036135975 0.0002117493326287444 0.008437638 0.0009428793544613604 0.10241209999999998 0.0006398825467912818 0.03587849 0.0037209972787300006 0.008551131 0.0004113834645616075 0.035360884999999995 0.0036271852681884634 0.039007520000000004 0.0006039245653486336 2.737311553955078e-07 2.83889562891388e-08 6.523995208740234e-08 3.1386067547730062e-09 2.9760375976562503e-07 4.6075787761583986e-09 2.3236380767822266e-07 2.7251120791156857e-09 1.4503605851999999 0.00945245813530317 0.045030974999999994 0.0007467822590537233 0.110849738 0.0012186483822640903 0.044429620999999996 0.0033650448845664064 0.074368405 0.003133755570435819 40.13774247326809 0.37853897314504364 14.162195706161324 0.08037341250316417 169.96524683503117 7.834048230455934 37.18939209423555 0.5827700644037568 32.216636960470765 0.5814417443741932 13.08479175695419 0.08967077129938182 32.820544727874086 2.4746609584221133 19.535810262179556 0.8444558878904861 4.541642358033864 0.2850067004353892
16.0 0.0 262144.0 0.0 57384.8 3934.524255331172 8.150000000000001e-08 1.7467262612037825e-08 2.8961445000000006 0.011834366313831361 3.925e-08 5.4567678885466605e-09 3.180014 0.01400996089254077 0.018202914999999997 0.0005328648700780553 0.073158445 0.0005011620984476209 0.016546025 0.00013721740289746753 0.20903385000000002 0.0010614047432263626 0.07234299000000001 0.007172478970701602 0.016353239999999998 0.0008544135177818672 0.07207692000000002 0.007089634472174909 0.08659347 0.0017966241340499 2.7596660614013676e-07 2.7360835917288215e-08 6.238265991210937e-08 3.2593289099955263e-09 3.303278732299805e-07 6.853577171516037e-09 2.679452133178711e-07 4.139897387577845e-09 2.8961445815000006 0.011834366745997442 0.09136136000000002 0.0002791048763413291 0.22557987500000004 0.0011222237603413985 0.08869623 0.006390586346469651 0.15867039 0.005713028223917147 39.58873161922534 0.26953918886848954 13.85534313336515 0.10480969139723043 177.52840446786888 8.696704058199176 33.45890695374247 0.7038494087100281 31.700242679672613 0.17683820083537766 12.839055603847374 0.09598641777679315 32.81711244599725 2.4209680191601657 18.274965091454895 0.6587525555085356 4.587179485850575 0.2930118374764733
16.0 0.0 524288.0 0.0 107894.35 7631.921343761856 9.755e-08 2.6800382950916732e-08 5.7789980000000005 0.0249908344459745 3.9549999999999993e-08 5.335827267779485e-09 8.2566115 0.0473951801095818 0.036577845000000005 0.0023555419104907735 0.14482429999999996 0.0018716921164957333 0.032937005000000005 0.0007512266183240337 0.41896094999999994 0.007471911356082993 0.16275250000000002 0.02034353664460836 0.03066626 0.0018237330158366262 0.16133494999999998 0.020548013822508607 0.17075884999999996 0.003771690703888279 3.1042575836181645e-07 3.8802216805664747e-08 5.849124908447266e-08 3.4784946743710064e-09 3.256966590881347e-07 7.193929107452925e-09 2.6720541000366214e-07 4.77862704317712e-09 5.77899809755 0.02499083955705397 0.181402145 0.0029813019428087196 0.451897955 0.007938455832775727 0.19341876 0.018631182410351443 0.33209380000000005 0.01748527047666301 39.90959188990148 0.5248471203686778 13.79756071663219 0.23890885539018525 189.06579473924103 10.969494587096875 33.85789445545062 0.7209994780144056 31.86498136832656 0.5050013170919253 12.791800832877273 0.21812881988262925 30.15311823057529 3.014019438451923 17.448276177944642 0.9346902162987565 4.881777618501164 0.33533687833408565
