N N_std T T_std subseq_length subseq_length_std simple_pre_time simple_pre_time_std simple_running_time simple_running_time_std one_pre_time one_pre_time_std one_running_time one_running_time_std many_pre_time many_pre_time_std many_running_time many_running_time_std simple_total_time simple_total_time_std one_total_time one_total_time_std many_total_time many_total_time_std one_total_ratio one_total_ratio_std many_total_ratio many_total_ratio_std one_running_ratio one_running_ratio_std many_running_ratio many_running_ratio_std
16.0 0.0 10000.0 0.0 2.0 0.0 1.6426650000000004e-07 3.029143311627264e-07 0.00997735125 0.0007373764633679434 0.0015780655349999998 0.00015926176617913428 0.012093839075 0.00017037218786182195 0.0354096027 0.0006520950883534187 0.007507057075 6.46751411628179e-05 0.009977515516499998 0.0007373750032113076 0.013671904609999999 0.0002147403805451466 0.0075778762804 6.55034716494476e-05 0.7299215864272988 0.054240924235743115 1.3167627431701265 0.09802423199479436 0.8251545089382166 0.06165938354397936 1.3291620509836544 0.09894315577904408
16.0 0.0 10000.0 0.0 4.0 0.0 1.5717200000000003e-07 1.8764206983825868e-08 0.009937222015 0.00011904214437239593 0.001587528815 0.00012040219624523336 0.012100183839999999 0.0001306837990866168 0.0354314512 0.000552024648675329 0.007510288095 5.418916355183562e-05 0.009937379187 0.00011904289846832298 0.013687712655 0.00016611949780855084 0.0075811509974 5.4728606442227736e-05 0.7261064277504943 0.01194944410271073 1.3108604230882783 0.01769672943821499 0.8213465997817682 0.013645121520356141 1.3232079126400176 0.01785640571063904
16.0 0.0 10000.0 0.0 8.0 0.0 1.5585600000000002e-07 1.9304082153624703e-08 0.00994124538 0.0001347728753211383 0.0015932174349999999 0.00010618143131145375 0.01210397972 0.00012231130728679337 0.034862122200000005 0.0015045378343945621 0.007480394855 0.00010428687996261946 0.009941401236000002 0.00013477273546302966 0.013697197155000002 0.00015520051652611559 0.0075501190994 0.00010683987118049216 0.7258827333946322 0.01233498249474029 1.3169820425260363 0.025695805116350112 0.8214052227227694 0.014006984286030616 1.3292285711920593 0.025716692462876268
16.0 0.0 10000.0 0.0 16.0 0.0 1.564845e-07 1.935799901366107e-08 0.00994800807 0.00015008030392215825 0.001586599715 0.0001071233596782854 0.012121932265 0.00012103634266849332 0.0353944726 0.0006570851035946287 0.007526352745 6.885655923210875e-05 0.0099481645545 0.00015008029950834388 0.01370853198 0.00015528445265044902 0.0075971416901999995 6.97588831583267e-05 0.7257806742068417 0.013524685061267 1.3095706678247263 0.023053205415735363 0.8207466535787664 0.01508907187636715 1.3218662075819558 0.023247366296833213
16.0 0.0 10000.0 0.0 32.0 0.0 1.5546049999999998e-07 1.891246362561463e-08 0.009950188875 0.0001298022259316786 0.0015828882800000001 0.00012369861019398352 0.012132152254999999 0.00018268748341332424 0.03551837759999999 0.0007387783878958134 0.0075589159349999996 5.7648073748670095e-05 0.0099503443355 0.00012980135152530103 0.013715040535 0.0001953306142572606 0.007629952690199999 5.862322180812202e-05 0.7256505696167983 0.013922576882491117 1.3041895577966116 0.01950558823403672 0.820362413337201 0.017795932107475553 1.316424172879605 0.019642035562314305
16.0 0.0 10000.0 0.0 64.0 0.0 1.57223e-07 1.944896918093854e-08 0.009962791555 0.00023078654391207697 0.001596493975 0.00012223597153014005 0.012172733824999999 0.0001865658038026132 0.03563672995 0.0006099480668792281 0.007595468245 6.740516775373928e-05 0.009962948777999999 0.00023078646150679862 0.013769227799999999 0.00020307694870917934 0.0076667417049 6.805613257526901e-05 0.7237108332243104 0.019312626569458244 1.2995886660351827 0.03135030889057261 0.8186699451554879 0.023810659042565626 1.3117624197146218 0.03162316060335557
16.0 0.0 10000.0 0.0 128.0 0.0 1.5772999999999997e-07 1.939304372893921e-08 0.00996815007 0.00021525595286127797 0.001606762615 0.00014019874587557613 0.012245789525 0.00016653724296685805 0.0355998908 0.0006367438701265054 0.007664171895 7.706658621878618e-05 0.0099683078 0.00021525617195460132 0.01385255214 0.00019303680821197 0.0077353716765999996 7.765550598343141e-05 0.7197285563046066 0.017911813768702618 1.2887880177335695 0.030329071459075402 0.8141695292899406 0.021255090987837944 1.3007405634597775 0.03061732304195115
16.0 0.0 10000.0 0.0 256.0 0.0 1.6337749999999998e-07 2.7353079998972976e-07 0.009961676935 0.00012353557650085763 0.001598670355 0.00016443242279932994 0.012402445154999999 0.00019389633090302597 0.035599150499999996 0.0005221171416983583 0.007815660225 6.21889203090044e-05 0.0099618403125 0.00012353296084739835 0.014001115510000002 0.00025064168078069854 0.007886858525999999 6.282085023889152e-05 0.7116911608462114 0.013785853006915934 1.2631776549232747 0.01890933598665531 0.8033721434273 0.01496443764121895 1.2746636257174484 0.019066457416759244
16.0 0.0 10000.0 0.0 512.0 0.0 1.583315e-07 1.9849750982242307e-08 0.009956136729999999 0.0001361771567783913 0.001588240015 0.00011719975427726435 0.01269130165 0.00010272009205087917 0.0356196337 0.00022576782215117923 0.00811446377 5.2252404010321536e-05 0.0099562950615 0.00013617639381219323 0.014279541665 0.00015456183479776447 0.0081857030374 5.2397549254708033e-05 0.6973094400747062 0.011330637960952652 1.2163471391652776 0.017993278009208878 0.7845321167851944 0.012201140967295831 1.2270069098540015 0.018172581693623405
16.0 0.0 10000.0 0.0 1024.0 0.0 1.572965e-07 1.9916448483856386e-08 0.009955715115 0.00011375486816090148 0.00159624788 0.00015518161701869122 0.0132846686 0.0001592284893790145 0.03611014405 0.000520069489002206 0.008722292395000001 5.8836467033842315e-05 0.0099558724115 0.00011375472780410088 0.014880916479999999 0.00021028119431050816 0.008794512683100001 5.914048034408565e-05 0.6691615006149406 0.011722691505952067 1.1321072414883468 0.015098342444242224 0.74952861898748 0.012900068834750788 1.1414633432565802 0.015236077795776454
